	place	lon	lat
254	矢島駅	39.230203	140.139021
255	本莊駅	36.23607459999999	139.1886015
256	函館空港	41.7757043	140.8158222
257	金森倉庫群	41.7664529	140.7170603
258	函館山夜景	41.7591885	140.7040461
259	函館朝市	41.7726085	140.725399
260	函館市植物園	41.7740058	140.7895009
261	新函館北斗	41.9046983	140.6483763
262	新青森	40.8284185	140.6935698
263	十和田湖	40.464869	140.8772428
264	盛岡手作村	39.6929063	141.0245035
265	角館小京都	 	 
266	宮澤賢治童話村	39.3984592	141.1677432
267	一番町	38.2641711	140.8710336
268	北方文化博物館	37.829622	139.152171
269	白鳥瓢湖	37.8386781	139.2374812
270	瀨波溫泉	38.214921	139.438336
271	村上喜川鮭屋	38.2242984	139.4786793
272	酒田山居倉庫	38.910702	139.836933
273	庄內米資料館	 	 
274	天童溫泉	38.360643	140.383513
275	飯豐町	38.0458265	139.9875295
276	戲雪樂園	40.017299	116.546714
277	AEON購物廣場	35.795727	140.318048
278	白根果園	37.8322822	139.0383305
279	故鄉村	39.7911666	116.4992775
280	仙貝王國	37.929474	139.164086
281	新潟空港	37.9522972	139.1134325
282	湯野濱溫泉	38.7802558	139.7589019
283	出羽雪酒造資料館	38.747899	139.768335
284	月山湖	38.4560721	140.029416
285	上山溫泉	38.1581861	140.2733616
286	松島	38.380128	141.0672439
287	五大堂	38.3697036	141.0641668
288	青森睡魔	40.82962029999999	140.7359079
289	山形空港	38.410634	140.366448
290	盛岡石割櫻	39.703786	141.1512313
291	安比高原	40.0072149	140.9758378
292	鶴之舞橋	40.7522718	140.3774224
293	立佞武多の館	40.81094299999999	140.443293
294	帆立小屋	40.8291423	140.7354763
295	小岩井農場	39.7505746	141.0174745
296	檜木內川堤	39.7017569	140.5542475
297	舞鶴山公園	38.353726	140.3756992
298	生剝神館	 	 
299	男鹿溫泉鄉	39.97293440000001	139.742751
300	辰子銅像	 	 
301	男鹿半島	39.915529	139.784545
302	藏王狐狸村	38.0408293	140.5303604
303	白石川堤	38.0500332	140.7384209
304	-----55青森66-----	 	 
305	弘前公園	40.6047838	140.4635994
306	十和田市官廳街通	40.6140921	141.2091392
307	駒街道	40.6123836	141.2061215
308	蘆野湖	40.912181	140.451574
309	蘆野公園	40.912181	140.451574
310	蘋果公園	40.5890754	140.442905
311	八戸PORTAL MUSEUM	40.5098665	141.4906441
312	青龍寺	38.6908645	139.8169826
313	津輕五所川原	40.8096339	140.4477764
314	津輕中里	40.964841	140.440961
315	十和田湖	40.464869	140.8772428
316	奧入瀨溪流	40.5260983	140.9742881
317	鯵澤溫泉鄉	40.775218	140.220741
318	龍飛崎	41.2587699	140.3425854
319	龍飛崎燈塔	41.2587699	140.3425854
320	田松陰碑	 	 
321	太宰治文學碑	41.2582423	140.3463853
322	龍飛裡海岸散步道	 	 
323	青函隧道紀念館	41.1774958	140.4595863
324	太宰治紀念館	40.9026421	140.4553396
325	斜陽館	40.9026421	140.4553396
326	立體睡魔燈籠館	 	 
327	千疊敷	40.767741	140.054979
328	道邊車站	 	 
329	WESPA椿山	40.5936696	139.8707129
330	十二湖	40.5605219	139.9848645
331	33座湖沼	 	 
332	淺蟲溫泉	40.89144599999999	140.862371
333	津輕海峽文化館	41.4330279	140.8613842
334	ARUSAS	 	 
335	佛浦	 	 
336	大間崎	41.54636010000001	140.9126008
337	藥研溫泉	 	 
338	恐山	41.308333	141.088056
339	八食中心	40.5264794	141.4527773
340	種差海岸	40.5089401	141.6098542
341	奧藥研溫泉鄉	 	 
342	河童溫泉	36.0379209	138.2268226
343	夫婦河童溫泉	 	 
344	觀光物產館	40.829641	140.741043
345	星野度假村	43.063565	142.631368
346	青森屋	40.6617344	141.3554737
347	八甲田纜車	40.6807149	140.8318126
348	青森縣立美術館	40.8073424	140.7007501
349	三內丸山遺跡	40.8114904	140.6973031
350	藤田紀念庭園	40.6038301	140.4612278
351	津輕藩餒菩躂	40.6113107	140.4697569
352	立餒菩躂	 	 
353	WeSPa椿山	40.5936696	139.8707129
354	森山海岸	 	 
355	十和田湖畔休屋	40.4302597	140.8928688
356	乙女像	40.43297039999999	140.88973
357	蔦溫泉	40.5968785	140.9530593
358	城倉大橋	40.6504712	140.8257091
359	酸湯溫泉	40.6506344	140.8504464
360	南田溫泉	40.588	140.57084
361	五所川原立餒菩躂	 	 
362	中野楓葉山	40.6106688	140.6816875
363	弘前昇天教會	40.5993947	140.4732065
364	法光寺	25.049966	121.5568969
365	舊東奧義塾外國人教師館	40.6027194	140.4662677
366	淺虫水族館	40.8975599	140.8628122
367	津輕傳統工藝館	 	 
368	津輕木偶館	 	 
369	禪林街	40.598737	140.4509246
370	三澤航空科學館	40.7082476	141.3903631
371	長勝寺	35.3102044	139.5568358
372	三內丸山	40.8114904	140.6973031
373	白神山	40.775265	140.184561
374	寺山修司紀念館	40.7420655	141.3653386
375	八戶市水產科学館	40.539685	141.562774
376	盛美園	40.6167045	140.5699446
377	舊弘前市立圖書館	40.6027189	140.4658333
378	櫛引八幡宮	40.4896183	141.434769
379	小見世	 	 
380	弘前城植物園	40.606181	140.4660706
381	青森銀行紀念館	40.602913	140.468555
382	弘前學院外國人宣教師館	40.5842226	140.4678871
383	青森縣立鄉土館	 	 
384	岩木山神社	40.621852	140.340684
385	棟方志功紀念館	40.8194141	140.7599731
386	最勝院五重塔	40.596378	140.468625
387	長者山	40.5046711	141.4899292
388	新羅神社	35.330589	137.127502
389	法靈山龗神社	40.5149729	141.4903973
390	-----55秋田66-----	 	 
391	乳頭溫泉鄉	39.8034162	140.7975683
392	鶴之湯溫泉	39.8050913	140.7797083
393	田澤湖辰子像	39.7140637	140.6342956
394	抱返回溪谷	 	 
395	生剝鬼	 	 
396	民俗藝能傳承館	39.720386	140.117032
397	秋田運河	39.7272599	140.0787329
398	AKITA shokusai PRODUCE	39.7142731	140.1175299
399	あきた食彩プロデュース	39.7142731	140.1175299
400	田澤湖	39.7168527	140.6544861
401	秋田犬見學所	39.7321012	140.6995501
402	安藤釀造	39.5906497	140.563716
403	角館	39.59409369999999	140.5639298
404	齋彌酒造店	39.3964611	140.0498888
405	留山	33.471279	112.54373
406	酷斯拉岩	 	 
407	八幡平	39.9564765	141.071292
408	武家宅邸	 	 
409	小安峽	39.0060511	140.6646796
410	千秋公園	39.72195900000001	140.1237635
411	秋田縣立美術館	39.7174312	140.1215293
412	大森山動物園	39.67171889999999	140.0762953
413	AKITA藝術村	 	 
414	窯館	22.39259	114.321386
415	增田古蹟	 	 
416	小安峽溫泉	39.006965	140.661405
417	兩關酒造	 	 
418	男鹿水族館	39.942177	139.70459
419	元湯雄山閣	39.971293	139.741982
420	男鹿真山傳承館	39.9286956	139.7666874
421	-----55岩手66-----	 	 
422	平泉町	38.9866623	141.1138219
423	高館義經堂	38.9972972	141.1135358
424	無量光院跡	38.993472	141.1158228
425	柳之御所遺跡	38.9923858	141.1208821
426	平泉文化遺產中心	38.9929502	141.1110602
427	猊鼻溪	38.9877031	141.2612807
428	世嬉之一酒造	38.931336	141.132431
429	MORIOKA町家物語館	39.6912956	141.1577567
430	鉈屋町界隈	39.6912956	141.1577567
431	盛岡城跡公園	39.6999503	141.150112
