	place	lon	lat
292	東大寺	34.6889851	135.8398158
293	中宮寺	34.614967	135.739576
294	當麻寺	34.5160956	135.6946375
295	橘寺	34.470103	135.817489
296	新藥師寺	34.675866	135.846177
297	西大寺	34.6936143	135.7794983
298	興福寺	34.682883	135.8322271
299	元興寺	34.677799	135.831298
300	岡寺	34.471814	135.828321
301	龍蓋寺	34.471814	135.828321
302	帶解寺	34.643174	135.826144
303	秋篠寺	34.703237	135.775674
304	飛鳥寺	34.478858	135.820216
305	大峰山寺	34.2529788	135.9413884
306	大峯山龍泉寺	34.2691957	135.8789371
307	補陀洛山寺	33.6447321	135.9344337
308	根來寺	34.287158	135.316658
309	道成寺	33.9144986	135.1745503
310	長保寺	34.1091128	135.165655
311	善福院	34.130582	135.177243
312	青岸渡寺	33.6691474	135.8898487
313	淨妙寺	35.322769	139.571366
314	金剛三昧院	34.2102137	135.5869752
315	金剛峰寺	34.214149	135.584109
316	粉河寺	34.2809428	135.4059363
317	紀三井寺	34.185173	135.190027
318	-------55神社66------	 	 
319	伊勢神宮	34.45501	136.725793
320	內宮別宮：荒祭宮	34.4561229	136.7251378
321	月讀宮	34.4732445	136.7289814
322	月讀荒御魂宮	34.47331500000001	136.7290445
323	伊佐奈岐宮	34.4733211	136.7288065
324	伊佐奈彌宮	34.4732509	136.7287038
325	瀧原宮	34.3660446	136.4258865
326	多賀宮	34.4854298	136.7039621
327	土宮	34.4857415	136.7033154
328	月夜見宮	34.4929505	136.7058162
329	風宮	34.4858656	136.7040643
330	天満宮	36.0858608	139.717119
331	天神社	35.7030733	139.8206484
332	菅原神社	35.5591188	139.4472786
333	春日神社	35.004967	135.729669
334	結城神社	34.697722	136.515203
335	水屋神社	34.4344127	136.3156552
336	椿大神社	34.9643812	136.4516835
337	多度大社	35.1345576	136.6240758
338	高倉神社	33.8467697	130.6007645
339	猿田彥神社	34.4669514	136.7205067
340	北畠神社	34.518569	136.2988526
341	敢國神社	34.787378	136.163941
342	御上神社	35.0499979	136.0273692
343	竹生島神社	35.4207208	136.1440997
344	日吉大社	35.0729128	135.8650648
345	長等神社	35.0097411	135.8556298
346	建部大社	34.973499	135.9135046
347	多賀神社	35.2254413	136.2911128
348	近江神宮	35.0321427	135.8523624
349	宇治上神社	34.892068	135.811439
350	吉田神社	35.025377	135.784731
351	六孫王神社	34.9846399	135.7449685
352	離宮八幡宮	34.891813	135.6795043
353	八坂神社	35.0036559	135.7785534
354	元伊勢籠神社	35.58278370000001	135.1967015
355	三宅八幡宮	35.0683587	135.7941006
356	松尾神社	34.999936	135.6849558
357	松尾大社	34.999936	135.6849558
358	豊國神社	34.991561	135.772476
359	平野神社	35.0326171	135.7319847
360	石清水八幡宮	34.879676	135.700049
361	離宮八幡宮	34.891813	135.6795043
362	長岡天満宮	34.92264	135.686925
363	梨木神社	35.0243241	135.7674736
364	北野天満宮	35.0314012	135.7351215
365	建勲神社	35.0386807	135.7431835
366	晴明神社	35.0277531	135.7513867
367	白峰神宮	35.0302457	135.7531439
368	城南宮	34.951083	135.746509
369	志磨神社	34.240222	135.180893
370	籠神社	35.58278370000001	135.1967015
371	護王神社	35.022194	135.758999
372	御香宮神社	34.93445800000001	135.76749
373	貴船神社	35.12164070000001	135.7629062
374	北野天満宮	35.0314012	135.7351215
375	祇園社	35.0036559	135.7785534
376	賀茂神社	35.0592809	135.7525297
377	賀茂別雷神社	35.0592809	135.7525297
378	賀茂御祖神社	35.0387488	135.7729868
379	春日神社	35.004967	135.729669
380	大原野神社	34.9603627	135.6562456
381	吉田神社	35.025377	135.784731
382	梅宮大社	35.0041416	135.6949055
383	石清水八幡宮	34.879676	135.700049
384	伏見稲荷大社	34.9671402	135.7726717
385	出雲大神宮	35.05912259999999	135.5783058
386	愛宕神社	35.6647566	139.7484781
387	旦椋神社	34.8725175	135.7749045
388	大嶋坐天照御魂神社	35.0148573	135.7135313
389	日根神社	34.3737119	135.3436143
390	開口神社	34.576881	135.474607
391	飛鳥戸神社	34.535325	135.638724
392	阿部野神社	34.62839	135.499556
393	水無瀬神宮	34.88511099999999	135.672935
394	方違神社	34.576906	135.4893228
395	星田神社	34.7653101	135.6721458
396	星田妙見宮	34.7594608	135.6785927
397	船待神社	34.568912	135.4650514
398	舊府神社	34.506559	135.4422312
399	枚岡神社	34.6699515	135.6506858
400	聖神社	36.049997	139.102505
401	壺井八幡宮	34.5308329	135.6259215
402	百舌鳥八幡宮	34.5542311	135.4946999
403	豊國神社	34.991561	135.772476
404	等乃木神社	34.521128	135.456529
405	大阪天満宮	34.6960608	135.5126167
406	綱敷天神社	34.703565	135.505103
407	道明寺天満宮	34.5692999	135.6176142
408	露天神社	34.699304	135.500829
409	多治速比売神社	34.502147	135.497922
410	高須神社	34.590533	135.485259
411	高石神社	34.526946	135.431971
412	住吉大社	34.6127972	135.4929406
413	助松神社	34.5158759	135.4235749
414	信太森葛葉稲荷神社	34.5093377	135.4386503
415	四條畷神社	34.7324644	135.649182
416	呉服神社	34.822916	135.422125
417	百済王神社	34.81538030000001	135.6602935
418	日部神社	34.520898	135.4656698
419	岸城神社	34.4589666	135.3726813
420	方違神社	34.576906	135.4893228
421	枚岡神社	34.6699515	135.6506858
422	大鳥大社	34.5366519	135.4594115
423	大津神社	34.5698144	135.5828019
424	石津太神社	34.55684360000001	135.4535142
425	今宮戎神社	34.6553476	135.5024773
426	瓢簞山稲荷神社	34.660752	135.642031
427	出雲大社大阪分祠	34.538294	135.521661
428	泉穴師神社	34.4965305	135.4197772
429	泉井上神社	34.48707090000001	135.4276459
430	石切剣箭神社	34.6821892	135.646285
